host_id,room_type,neighbourhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,date
23404920,Private room,Arroios,0,3.821327873,2,1,110,1,38.721659,-9.136976,21/3/16
28809298,Entire home/apt,Arroios,5,3.5,2,1,26,4,38.734232,-9.138272,21/3/16
6385306,Entire home/apt,Penha de França,5,4.5,5,2,46,3,38.726422,-9.127816,21/3/16
5506810,Entire home/apt,Campo de Ourique,1,5,3,1,81,7,38.717794,-9.165323,21/3/16
17494308,Entire home/apt,Arroios,39,4.5,4,1,53,3,38.724239,-9.137338,21/3/16
37919825,Entire home/apt,Misericórdia,0,3.821327873,2,1,45,3,38.711299,-9.145258,21/3/16
3244631,Private room,Penha de França,0,3.821327873,2,1,34,2,38.73633,-9.128833,21/3/16
14759215,Entire home/apt,Estrela,17,4.5,3,1,47,2,38.70968,-9.155037,21/3/16
18109908,Entire home/apt,Belém,5,4.5,4,1,80,2,38.695044,-9.213176,21/3/16
3534441,Entire home/apt,Santo António,48,5,2,1,58,3,38.716025,-9.151076,21/3/16
9827661,Entire home/apt,Santa Maria Maior,16,4.5,4,1,58,2,38.719158,-9.134689,21/3/16
5151549,Private room,Arroios,27,4.5,2,1,23,2,38.734019,-9.140099,21/3/16
19455234,Entire home/apt,Santa Maria Maior,21,4,3,1,40,3,38.710172,-9.130488,21/3/16
3692657,Entire home/apt,Misericórdia,80,4.5,4,1,41,2,38.709171,-9.146895,21/3/16
38606371,Private room,Arroios,0,3.821327873,3,1,20,1,38.727562,-9.132641,21/3/16
15888271,Private room,Santo António,0,3.821327873,3,1,40,1,38.718919,-9.150116,21/3/16
2437658,Entire home/apt,Arroios,1,3.821327873,4,2,58,2,38.732378,-9.132671,21/3/16
23669424,Entire home/apt,Parque das Nações,10,5,3,1,92,1,38.776572,-9.096738,21/3/16
16350674,Entire home/apt,Avenidas Novas,56,4.5,4,1,69,2,38.728638,-9.149257,21/3/16
1375871,Private room,Avenidas Novas,0,3.821327873,1,1,75,1,38.746205,-9.15094,21/3/16
15100715,Private room,Lumiar,4,4.5,1,1,24,3,38.761999,-9.169403,21/3/16
11523797,Private room,Misericórdia,3,4.5,1,1,29,1,38.709836,-9.149646,21/3/16
5376796,Entire home/apt,Santa Maria Maior,69,4.5,3,1,54,2,38.712118,-9.127079,21/3/16
15702462,Entire home/apt,Santa Maria Maior,124,4.5,3,1,53,1,38.716348,-9.1339,21/3/16
5631855,Entire home/apt,Campo de Ourique,5,5,5,2,45,2,38.712736,-9.173561,21/3/16
20962560,Private room,São Vicente,15,5,1,1,24,2,38.719359,-9.130625,21/3/16
29509561,Entire home/apt,Arroios,1,4,4,2,93,2,38.725602,-9.135019,21/3/16
46320578,Entire home/apt,São Vicente,7,4.5,4,2,55,3,38.718054,-9.126923,21/3/16
26864642,Entire home/apt,Avenidas Novas,60,4.5,3,1,40,1,38.734869,-9.151047,21/3/16
6277622,Entire home/apt,São Vicente,13,4,5,1,70,3,38.713757,-9.127451,21/3/16
25425636,Entire home/apt,Arroios,61,4.5,4,1,45,2,38.721367,-9.135315,21/3/16
14227941,Private room,Arroios,0,3.821327873,3,1,45,1,38.726088,-9.135425,21/3/16
4827358,Private room,Campo de Ourique,1,4,2,1,37,1,38.719549,-9.156595,21/3/16
4840286,Entire home/apt,Lumiar,1,3.821327873,4,1,99,3,38.766631,-9.15442,21/3/16
3953109,Entire home/apt,Avenidas Novas,1,4,4,2,80,3,38.735826,-9.144883,21/3/16
18983132,Private room,Alvalade,39,5,2,1,29,2,38.75989,-9.137479,21/3/16
17032883,Private room,Misericórdia,3,5,2,1,46,1,38.708836,-9.144631,21/3/16
55964711,Entire home/apt,Arroios,0,3.821327873,4,1,75,2,38.729198,-9.145256,21/3/16
12444021,Private room,Arroios,22,5,1,1,28,3,38.722231,-9.139771,21/3/16
4817790,Entire home/apt,Santa Maria Maior,31,5,2,1,68,2,38.71493,-9.13571,21/3/16
17067821,Entire home/apt,Santa Maria Maior,24,4.5,4,1,76,3,38.711983,-9.137846,21/3/16
16198798,Private room,Lumiar,52,5,2,1,23,1,38.757546,-9.168461,21/3/16
2218206,Private room,Avenidas Novas,26,5,2,1,70,3,38.739856,-9.154215,21/3/16
743167,Entire home/apt,Santa Maria Maior,48,4,2,0,61,4,38.712402,-9.129001,21/3/16
688914,Entire home/apt,Misericórdia,16,4.5,4,2,84,2,38.711878,-9.143655,21/3/16
22036235,Entire home/apt,Misericórdia,1,3.821327873,4,1,58,2,38.712258,-9.145272,21/3/16
