,room_id,room_type,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
0,3880,Entire home/apt,4.5,3.0,1.0,70.0,1.0,38.711013,-9.148237
1,6499,Entire home/apt,5.0,2.0,1.0,68.0,2.0,38.696747,-9.198404
2,16013,Entire home/apt,4.5,3.0,1.0,56.0,3.0,38.71236,-9.152341
3,25659,Entire home/apt,5.0,5.0,1.0,70.0,3.0,38.711671,-9.126964
4,26993,Entire home/apt,3.5,2.0,1.0,97.0,3.0,38.730747,-9.14824
5,26995,Private room,,2.0,1.0,348.0,1.0,38.738323,-9.143127
6,29138,Private room,,1.0,1.0,99.0,1.0,38.736341,-9.137916
7,29248,Entire home/apt,4.5,4.0,1.0,49.0,3.0,38.715136,-9.122788
8,29396,Entire home/apt,4.5,4.0,1.0,77.0,1.0,38.712392,-9.12887
9,29720,Entire home/apt,5.0,,9.0,1392.0,2.0,38.711955,-9.158766
10,29872,Entire home/apt,5.0,2.0,1.0,77.0,4.0,38.701456,-9.191033
11,29891,Entire home/apt,5.0,3.0,1.0,77.0,3.0,38.716376,-9.149055
12,29915,Entire home/apt,4.5,3.0,1.0,70.0,3.0,38.748635,-9.149022
13,31676,Entire home/apt,4.5,2.0,1.0,70.0,1.0,38.710887,-9.150394
14,33769,Entire home/apt,5.0,4.0,2.0,118.0,5.0,38.713401,-9.147833
15,33845,Private room,,1.0,1.0,82.0,1.0,38.721431,-9.163592
16,34779,Private room,,1.0,1.0,88.0,1.0,38.712157,-9.162721
17,34783,Private room,,1.0,1.0,64.0,1.0,38.711302,-9.159902
18,34953,Entire home/apt,4.5,4.0,1.0,56.0,3.0,38.714697,-9.130293
19,34977,Entire home/apt,5.0,,2.0,77.0,3.0,38.714391,-9.131907
20,34994,Entire home/apt,4.5,4.0,1.0,56.0,3.0,38.714053,-9.129963
21,35026,Private room,4.5,2.0,1.0,33.0,1.0,38.721554,-9.129722
22,35954,Entire home/apt,4.5,4.0,2.0,70.0,3.0,38.720809,-9.152184
23,40817,Entire home/apt,4.5,4.0,2.0,64.0,,38.708143,-9.147804
24,42172,Entire home/apt,4.5,,2.0,125.0,4.0,38.712366,-9.141526
25,42519,Entire home/apt,4.5,3.0,1.0,70.0,1.0,38.708961,-9.149376
26,44043,Entire home/apt,5.0,,3.0,97.0,2.0,38.71176,-9.136205
27,47081,Entire home/apt,5.0,4.0,2.0,56.0,,38.711978,-9.127327
28,47382,Entire home/apt,4.5,4.0,,56.0,3.0,38.715374,-9.129357
29,47717,Entire home/apt,4.5,3.0,1.0,64.0,3.0,38.713355,-9.135391
30,48025,Entire home/apt,4.5,2.0,1.0,91.0,5.0,38.713089,-9.14392
31,49888,Private room,4.5,2.0,1.0,77.0,3.0,38.709925,-9.131784
32,50108,Entire home/apt,5.0,4.0,1.0,84.0,2.0,38.703883,-9.165199
33,50269,Private room,4.5,1.0,1.0,22.0,2.0,38.72088,-9.13046
34,50270,Private room,4.0,2.0,1.0,22.0,1.0,38.721756,-9.129641
35,52291,Entire home/apt,5.0,2.0,1.0,91.0,3.0,38.762135,-9.106225
36,52298,Entire home/apt,,2.0,2.0,432.0,1.0,38.710463,-9.151154
37,53743,Private room,4.5,2.0,1.0,70.0,3.0,38.709919,-9.13024
38,53747,Private room,4.5,2.0,1.0,63.0,3.0,38.708936,-9.130311
39,56906,Entire home/apt,4.5,3.0,1.0,63.0,2.0,38.717389,-9.125358
40,57850,Entire home/apt,4.5,3.0,2.0,84.0,3.0,38.706005,-9.172369
41,59227,Entire home/apt,4.5,,3.0,139.0,3.0,38.713658,-9.144939
42,61648,Private room,2.5,2.0,1.0,22.0,2.0,38.720992,-9.129847
43,62609,Entire home/apt,5.0,5.0,2.0,153.0,4.0,38.709143,-9.144263
44,65553,Entire home/apt,4.5,2.0,1.0,63.0,3.0,38.718431,-9.167952
45,65878,Entire home/apt,5.0,4.0,1.0,86.0,2.0,38.712947,-9.147388
46,68103,Entire home/apt,4.5,4.0,3.0,81.0,2.0,38.711267,-9.129272
47,72807,Private room,4.5,1.0,1.0,35.0,2.0,38.751237,-9.13856
48,73764,Entire home/apt,4.5,2.0,1.0,77.0,4.0,38.721897,-9.154623
49,74402,Entire home/apt,2.5,4.0,1.0,118.0,2.0,38.71259,-9.123786
50,75171,Entire home/apt,4.5,5.0,2.0,104.0,4.0,38.704603,-9.164825
51,77130,Entire home/apt,4.5,3.0,1.0,56.0,2.0,38.712615,-9.151435
52,77466,Entire home/apt,5.0,5.0,2.0,84.0,,38.711359,-9.145599
53,77826,Entire home/apt,5.0,2.0,1.0,70.0,2.0,38.730954,-9.131758
54,79127,Entire home/apt,4.5,4.0,1.0,42.0,3.0,38.721574,-9.125495
55,82610,Entire home/apt,5.0,2.0,1.0,174.0,2.0,38.720759,-9.143487
56,83615,Entire home/apt,4.5,4.0,1.0,111.0,2.0,38.71255,-9.160008
57,83933,Entire home/apt,4.5,4.0,1.0,77.0,2.0,38.720338,-9.128918
58,84185,Entire home/apt,,2.0,1.0,153.0,2.0,38.720689,-9.143379
59,84186,Private room,,2.0,1.0,153.0,2.0,38.720443,-9.144343
60,84599,Entire home/apt,4.5,,2.0,103.0,1.0,38.711763,-9.13793
61,85270,Entire home/apt,5.0,5.0,3.0,111.0,3.0,38.715878,-9.140593
62,87723,Entire home/apt,4.5,,2.0,125.0,3.0,38.71961,-9.128892
63,88282,Entire home/apt,1.5,4.0,1.0,104.0,4.0,38.719361,-9.143855
64,88312,Private room,5.0,5.0,1.0,91.0,3.0,38.724579,-9.14362
65,88410,Entire home/apt,4.5,4.0,1.0,91.0,3.0,38.715272,-9.123069
66,89015,Entire home/apt,5.0,4.0,2.0,132.0,3.0,38.7124,-9.149889
67,90387,Private room,5.0,2.0,1.0,56.0,2.0,38.720887,-9.143996
68,90559,Entire home/apt,4.0,4.0,1.0,104.0,4.0,38.720102,-9.143911
69,90931,Entire home/apt,4.0,4.0,2.0,125.0,3.0,38.717671,-9.152622
70,91282,Entire home/apt,,2.0,1.0,104.0,3.0,38.718492,-9.158065
71,93111,Entire home/apt,5.0,2.0,1.0,45.0,,38.711701,-9.127161
72,93349,Entire home/apt,5.0,4.0,1.0,81.0,2.0,38.715602,-9.152448
73,93388,Entire home/apt,4.5,,2.0,106.0,3.0,38.714827,-9.152554
74,93437,Entire home/apt,4.5,4.0,1.0,81.0,3.0,38.714195,-9.151498
75,93829,Entire home/apt,5.0,2.0,1.0,70.0,2.0,38.718276,-9.129709
76,95212,Entire home/apt,4.5,,3.0,91.0,2.0,38.707861,-9.152255
77,97007,Entire home/apt,5.0,2.0,1.0,56.0,3.0,38.699273,-9.190648
78,97503,Private room,4.5,1.0,1.0,31.0,4.0,38.720236,-9.143166
79,97805,Private room,5.0,2.0,1.0,31.0,2.0,38.723665,-9.134174
80,98842,Private room,4.5,2.0,1.0,49.0,1.0,38.769743,-9.167753
81,100532,Entire home/apt,5.0,4.0,2.0,70.0,3.0,38.72036,-9.121162
82,105092,Entire home/apt,4.5,4.0,2.0,67.0,4.0,38.712258,-9.126391
83,105962,Entire home/apt,5.0,4.0,1.0,96.0,2.0,38.76372,-9.10383
84,106051,Entire home/apt,4.5,4.0,2.0,97.0,3.0,38.705626,-9.158023
85,108058,Private room,,2.0,1.0,40.0,3.0,38.744919,-9.162986
86,108414,Entire home/apt,5.0,2.0,1.0,84.0,7.0,38.722188,-9.135532
87,110119,Private room,,1.0,1.0,33.0,1.0,38.708473,-9.153921
88,116672,Entire home/apt,5.0,2.0,1.0,49.0,,38.713614,-9.125343
89,117618,Entire home/apt,5.0,4.0,2.0,104.0,3.0,38.716484,-9.120997
90,118653,Entire home/apt,4.0,,2.0,104.0,3.0,38.72074,-9.12197
91,119120,Entire home/apt,5.0,4.0,2.0,67.0,2.0,38.70869,-9.162357
92,120554,Entire home/apt,4.5,,3.0,125.0,2.0,38.715542,-9.125708
93,120586,Entire home/apt,4.0,,3.0,136.0,2.0,38.710496,-9.151435
94,120590,Private room,,1.0,1.0,70.0,1.0,38.734447,-9.12969
95,121181,Private room,5.0,2.0,1.0,56.0,3.0,38.737378,-9.15062
96,122572,Private room,,2.0,1.0,77.0,1.0,38.756223,-9.175062
97,122998,Entire home/apt,4.5,2.0,1.0,84.0,3.0,38.712977,-9.151152
98,124558,Entire home/apt,4.5,,2.0,82.0,3.0,38.712352,-9.137796
99,125431,Entire home/apt,4.5,2.0,1.0,42.0,3.0,38.707718,-9.133243
100,125536,Private room,4.5,2.0,1.0,42.0,2.0,38.712004,-9.137045
101,125578,Entire home/apt,4.5,2.0,1.0,84.0,3.0,38.715019,-9.135398
102,125848,Entire home/apt,4.5,3.0,1.0,63.0,2.0,38.715233,-9.123845
103,126300,Private room,,1.0,1.0,70.0,1.0,38.717056,-9.129029
104,126646,Entire home/apt,4.5,4.0,2.0,29.0,1.0,38.728236,-9.131736
105,126793,Private room,4.5,1.0,1.0,28.0,2.0,38.718398,-9.156519
106,128168,Private room,4.5,1.0,1.0,42.0,1.0,38.705788,-9.174032
107,128196,Private room,4.5,2.0,1.0,35.0,1.0,38.719881,-9.137914
108,129822,Private room,5.0,2.0,1.0,57.0,1.0,38.776078,-9.095126
109,130708,Entire home/apt,4.5,4.0,2.0,49.0,2.0,38.718799,-9.136488
110,131619,Entire home/apt,4.5,4.0,1.0,61.0,2.0,38.721679,-9.137951
111,133645,Entire home/apt,4.5,3.0,1.0,56.0,2.0,38.710785,-9.132233
112,134065,Private room,4.5,2.0,1.0,49.0,3.0,38.710727,-9.138828
113,134438,Entire home/apt,4.5,4.0,1.0,68.0,3.0,38.719553,-9.122895
114,134681,Entire home/apt,4.5,4.0,1.0,84.0,3.0,38.711494,-9.129374
115,135135,Entire home/apt,,,6.0,195.0,1.0,38.72887,-9.137254
116,135261,Entire home/apt,4.5,4.0,2.0,84.0,3.0,38.711036,-9.145506
117,137054,Entire home/apt,4.5,3.0,1.0,56.0,1.0,38.712157,-9.131126
118,137461,Entire home/apt,4.5,2.0,1.0,91.0,7.0,38.713505,-9.145834
119,138929,Entire home/apt,5.0,3.0,1.0,68.0,2.0,38.711363,-9.130368
120,138999,Entire home/apt,5.0,5.0,2.0,104.0,2.0,38.710716,-9.134058
121,140080,Entire home/apt,4.0,,5.0,111.0,2.0,38.712461,-9.143964
