Booking_ID,adults,children,stays_in_weekend_nights,stays_in_week_nights,meal,required_car_parking_spaces,reserved_room_type,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,market_segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,adr,total_of_special_requests,is_canceled
INN00003,1,0,2,1,BB,0,A,1,2018,February,28,Online TA,0,0,0,60.0,0,1
INN00106,2,0,0,3,BB,0,A,8,2018,February,16,Offline TA/TO,0,0,0,64.0,0,0
INN00158,2,0,0,3,BB,0,A,44,2018,February,17,Offline TA/TO,0,0,0,75.0,0,0
INN00210,1,0,0,0,BB,0,A,4,2018,February,27,Complementary,0,0,0,0.0,1,0
INN00230,1,0,1,2,BB,0,A,32,2018,February,5,Online TA,0,0,0,72.9,0,1
INN00245,2,0,1,0,BB,0,A,33,2018,February,8,Online TA,0,0,0,80.3,1,0
INN00306,3,0,2,1,BB,0,D,19,2018,February,20,Online TA,0,0,0,130.0,1,0
INN00315,2,0,2,1,BB,0,A,26,2018,February,28,Offline TA/TO,0,0,0,87.0,0,0
INN00321,3,0,1,2,BB,0,D,27,2018,February,22,Online TA,0,0,0,130.0,2,0
INN00349,2,0,0,1,BB,0,A,0,2018,February,24,Online TA,0,0,0,97.0,1,0
INN00357,1,0,2,1,BB,0,A,1,2018,February,28,Online TA,0,0,0,60.0,0,1
INN00366,3,0,1,4,BB,0,A,50,2018,February,22,Online TA,0,0,0,78.85,1,0
INN00391,1,0,0,1,BB,0,A,0,2018,February,19,Corporate,0,0,0,80.0,0,0
INN00435,2,0,0,2,BB,0,A,15,2018,February,16,Online TA,0,0,0,91.0,1,1
INN00487,2,0,2,0,BB,0,A,34,2018,February,28,Complementary,0,0,0,6.5,1,0
INN00489,2,0,1,3,BB,0,A,24,2018,February,11,Online TA,0,0,0,91.0,0,1
INN00496,1,0,2,1,BB,0,A,1,2018,February,28,Online TA,0,0,0,60.0,0,1
INN00500,2,0,0,3,BB,0,D,139,2018,February,11,Offline TA/TO,0,0,0,62.0,1,0
INN00502,1,0,2,1,HB,0,D,18,2018,February,28,Online TA,0,0,0,145.0,1,0
INN00530,2,0,2,3,BB,0,A,27,2018,February,4,Online TA,0,0,0,66.31,1,0
INN00568,1,0,0,1,BB,0,A,1,2018,February,3,Corporate,0,0,0,66.0,1,0
INN00601,2,0,0,2,SC,0,A,6,2018,February,26,Online TA,0,0,0,79.0,0,1
INN00633,2,0,0,1,SC,0,A,1,2018,February,11,Online TA,0,0,0,80.0,2,0
INN00641,1,0,2,1,BB,0,A,116,2018,February,28,Offline TA/TO,0,0,0,82.0,0,0
INN00645,2,0,2,2,SC,0,A,12,2018,February,6,Online TA,0,0,0,55.72,0,0
INN00673,2,0,0,3,BB,0,A,51,2018,February,25,Online TA,0,0,0,80.3,1,0
INN00674,1,0,1,0,HB,0,A,3,2018,February,8,Online TA,0,0,0,129.0,1,0
INN00677,2,0,0,1,BB,0,A,1,2018,February,27,Online TA,0,0,0,103.0,1,0
INN00717,2,0,2,0,SC,1,A,37,2018,February,14,Online TA,0,0,0,78.5,1,0
INN00722,2,0,2,3,BB,0,A,11,2018,February,13,Offline TA/TO,0,0,0,85.0,0,0
INN00723,2,0,2,2,SC,0,A,4,2018,February,5,Online TA,0,0,0,81.0,0,1
INN00726,2,1,1,3,BB,0,D,3,2018,February,15,Online TA,0,0,0,106.0,2,0
INN00748,1,0,0,1,BB,0,A,21,2018,February,25,Corporate,0,0,0,68.0,1,0
INN00780,1,0,1,2,BB,0,A,4,2018,February,15,Complementary,1,0,1,0.0,1,0
INN00821,1,0,2,1,BB,0,A,116,2018,February,28,Offline TA/TO,0,0,0,76.0,0,0
INN00844,1,0,2,1,SC,0,A,9,2018,February,21,Online TA,0,0,0,79.0,0,1
INN00853,2,1,1,2,BB,0,A,33,2018,February,26,Online TA,0,0,0,102.37,1,0
INN00867,2,0,2,3,BB,0,A,52,2018,February,4,Online TA,0,0,0,73.95,0,1
INN00884,2,0,1,2,BB,0,D,11,2018,February,12,Offline TA/TO,1,1,0,93.8,0,0
INN00886,2,0,2,2,BB,0,A,25,2018,February,7,Online TA,0,0,0,64.64,0,0
INN00942,2,0,0,3,BB,0,A,42,2018,February,3,Online TA,0,0,0,80.3,1,0
INN00980,2,0,1,2,SC,0,A,37,2018,February,22,Online TA,0,0,0,69.9,0,1
INN00991,2,0,0,2,SC,0,A,22,2018,February,19,Online TA,0,0,0,81.0,1,0
INN01008,2,0,0,2,BB,0,A,8,2018,February,5,Online TA,0,0,0,91.0,1,1
INN01018,2,1,1,3,BB,0,A,2,2018,February,1,Online TA,0,0,0,93.0,2,0
INN01037,2,0,1,2,SC,0,A,23,2018,February,12,Online TA,0,0,0,79.0,1,1
INN01081,2,0,0,3,BB,0,A,57,2018,February,11,Online TA,0,0,0,80.3,0,0
INN01087,2,0,0,3,BB,0,A,44,2018,February,17,Offline TA/TO,0,0,0,75.0,0,0
INN01103,1,0,0,1,BB,0,A,5,2018,February,3,Corporate,1,0,4,66.0,0,0
